"swearWords"
"anal"
"anus"
"arse"
"ass"
"balls"
"ballsack"
"bastard"
"biatch"
"bitch"
"bloody"
"blow job"
"blowjob"
"bollock"
"bollok"
"boner"
"boob"
"boobie"
"bugger"
"bum"
"butt"
"buttplug"
"clitoris"
"cock"
"coon"
"crap"
"cunt"
"damn"
"dick"
"dildo"
"dyke"
"erect"
"f u c k"
"fag"
"fart"
"feck"
"felching"
"fellate"
"fellatio"
"flange"
"fuck"
"fudge packer"
"fudgepacker"
"God damn"
"Goddamn"
"hell"
"homo"
"jerk"
"jizz"
"knob end"
"knobend"
"labia"
"lmao"
"lmfao"
"muff"
"nigga"
"nigga"
"niggard"
"niggardliness"
"niggardly"
"niggards"
"niggas"
"niggaz"
"nigger"
"nigger"
"niggers"
"omg"
"penis"
"piss"
"poop"
"prick"
"pube"
"puss"
"pussy"
"queer"
"rectum"
"s hit"
"scrotum"
"sex"
"sh1t"
"shit"
"skank"
"skanks"
"slut"
"smegma"
"spunk"
"tit"
"tosser"
"turd"
"twat"
"vagina"
"wank"
"whore"
"wtf"
"nipple"
"nipples"
"nippy"
"nips"
