Index	Word
0371	Long stay
0372	Loggerhead
0373	Lizard
0374	Liner
0375	Line astern
0376	Line
0377	Limber board
0378	Limber hole
0379	Light screens
0380	Light irons
0381	Lift
0382	Lifeboat
0383	Lie to
0384	Liberty
0385	Leech
0386	Leeboard pendant
0387	Leeboard irons
0388	Lee side
0389	Leadsman
0390	Lead
0391	Leach
0392	Laying down
0393	Lay day
0394	Lay
0395	Launch
0396	Lateral system
0397	Large
0398	Landmark
0399	Land lubber
0400	Laker
0401	Laid up
0402	Lagan
0403	Ladder
0404	Lace
0405	Know the ropes
0406	Knockdown
0407	Knock
0408	Knighthead
0409	Knee
0410	King plank
0411	Kicking strap
0412	Killick
0413	Kellet
0414	Junk
0415	Joggle
0416	Jolly boat
0417	Jollies
0418	Jigger-mast
0419	Jibe-ho
0420	Jibe
0421	Jibboom
0422	Jetty
0423	Jackstay
0424	Jack Dusty
0425	Jack
0426	Island
0427	Iron wind
0428	Iron topsail
0429	Iron Mike
0430	Inshore
0431	Inboard
0432	In Irons
0433	In stays
0434	ballast
0435	Idlers
0436	Hufflers
0437	Hoy
0438	Hoveller
0439	Hotel load
0440	Hounds
0441	Horse
0442	Horn timber
0443	Horns
0444	Horn
0445	Hoop
0446	Homeward bounder
0447	Holiday
0448	Hoist
0449	Hog
0450	Highfield lever
0451	Helm
0452	Heavy weather
0453	Heave down
0454	Heave
0455	Headstick
0456	Header
0457	Head sea
0458	Head rope
0459	Head rail
0460	Head boat
0461	Hauling wind
0462	Haul
0463	Harness tub
0464	Harness cask
0465	Harden up
0466	Harden in
0467	Hard-a-lee
0468	Hard
0469	Hank
0470	Hangar deck
0471	Handy billy
0472	Handsomely
0473	Hand bomber
0474	Hand
0475	Hamper
0476	Half-breadth plan
0477	Gurdy
0478	Gunter-rigged
0479	Gunter rig
0480	Gunport
0481	Guineaman
0482	Growler
0483	Grounding
0484	Ground
0485	Groggy
0486	Gripie
0487	Gripe
0488	Gridiron
0489	Green-to-green
0490	Grave
0491	Goosewinged
0492	Gooseneck
0493	tacking
0494	Give-way
0495	Gin-pole
0496	Gibe
0497	Ghost fleet
0498	Ghost
0499	General Quarters
0500	Gear
0501	Gasket
0502	Gash
0503	Garboard planks
0504	Garboard
0505	Garbling
0506	Gangway
0507	Gangplank
0508	Gammon iron
0509	Gam
0510	Galliot
0511	Galley
0512	Gaff vang
0513	Gaff
0514	Futtocks
0515	Furl
0516	Funnel
0517	Frame
0518	Founder
0519	Foulies
0520	Forestaysail
0521	Forepeak
0522	Foremast jack
0523	Fore horse
0524	Fore-and-afters
0525	Force
0526	Footboat
0527	Footloose
0528	Foo-foo band
0529	Flushing board
0530	Floorhead
0531	Floor
0532	Flettner rotor
0533	Flemish
0534	Flattop
0535	Flatback
0536	Flare
0537	Flag hoist
0538	Fish
0539	Fine
0540	Fin
0541	Fighting top
0542	Fig
0543	Fid
0544	Fetch
0545	Ferry glide
0546	Fend off
0547	Fast
0548	Fashion boards
0549	Fardage
0550	Fantail
0551	Fall off
0552	Fall
0553	Fake
0554	Fairway
0555	Fairwater
0556	Fair winds and following seas
0557	Fair
0558	Extremis
0559	Ensign
0560	Embayed
0561	Earings
0562	Dunsel
0563	Drying harbour
0564	Drogher
0565	Driver-mast
0566	Driver
0567	Drink
0568	Dressing lines
0569	Dressing down
0570	Drabbler
0571	Dover cliffs
0572	Double-shotted
0573	Donkeyman
0574	Dolly winch
0575	Dogvane
0576	Doghouse
0577	Dodger
0578	Disrate
0579	Directional light
0580	Diamonds
0581	Devil seam
0582	Despatch boat
0583	Decks awash
0584	Deckhouse
0585	Deck supervisor
0586	Debunk
0587	Deadwood
0588	Deadrise
0589	Deadlight
0590	Deadhead
0591	Dead wake
0592	Dead run
0593	Dead ahead
0594	Dayboard
0595	Day-blink
0596	Dart
0597	Dandy
0598	Cutwater
0599	Cuntline
0600	Crutches
0601	Cringle
0602	Crazy Ivan
0603	Crabber
0604	Crab
0605	Cowl
0606	Courses
0607	Course
0608	Counterflood
0609	Counter
0610	Cotchel
0611	Corsair
0612	Corinthian
0613	Conning officer
0614	Comprise
0615	Complement
0616	Commodore
0617	Come to
0618	Come about
0619	Cockbill
0620	Coal hulk
0621	Club hauling
0622	Clove hitch
0623	Close aboard
0624	Clew
0625	Clench
0626	Clear
0627	Clean slate
0628	Cigarette boat
0629	Chock-a-block
0630	Chock
0631	Cheeks
0632	Chartplotter
0633	Charthouse
0634	Charley Noble
0635	Chain locker
0636	Chafing gear
0637	Ceiling
0638	Cat
0639	Carrier
0640	Carpenter
0641	Cardinal
0642	Captain
0643	Canvas
0644	Canoe stern
0645	Canister
0646	Canal boat
0647	Can
0648	Camels
0649	Cabotage
0650	Burden
0651	Buoyed up
0652	Bunker
0653	Bulwark
0654	Buffer
0655	Brow
0656	Broadside
0657	Broadhorn
0658	Broad
0659	Bring to
0660	Breastrope
0661	Breakwater
0662	Breaker
0663	Brass pounder
0664	Brake
0665	Brailer
0666	Brail net
0667	Brace abox
0668	Bowse
0669	Bowpicker
0670	Bowman
0671	Bow chaser
0672	Bottom
0673	Bosun
0674	Booms
0675	Boom gallows
0676	Boomer
0677	Booby hatch
0678	Bonnet
0679	Bonded jacky
0680	Bombay runner
0681	Bombard
0682	Boiler room
0683	Body plan
0684	Boatwright
0685	Board
0686	Bit heads
0687	Bite
0688	Bird farm
0689	Binnacle list
0690	Bill
0691	Bight
0692	Berth
0693	Below decks
0694	Below
0695	Bell buoy
0696	Bell
0697	Belay
0698	Before the mast
0699	Becalmed
0700	Becalm
0701	Bear up
0702	Bear away
0703	Bear
0704	Beam wind
0705	Beam sea
0706	Beam reach
0707	Beam ends
0708	Batten down the hatches
0709	Barrack ship
0710	Barkentine
0711	Bark
0712	Baldie
0713	Azimuth circle
0714	Axial fire
0715	Aweigh
